pl_name,hostname,discoverymethod,disc_year,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
HD 142415 b,HD 142415,Radial Velocity,2003,G,5940.0,1.04,1.07,0.13,4.44,35.5318,7.33,5.892,7.17789
HD 143105 b,HD 143105,Radial Velocity,2016,F,6380.0,1.647304,1.51,0.15,4.37,46.7789,6.77005,5.519,6.62583
HD 143361 b,HD 143361,Radial Velocity,2008,G,5507.0,0.916,0.968,0.14,4.472,68.5146,9.2,7.488,9.01602
HD 145377 b,HD 145377,Radial Velocity,2008,G,6014.0,1.05,1.2,0.11,4.47,53.4884,9.236,6.706,7.96999
HD 145457 b,HD 145457,Radial Velocity,2010,K,4757.0,9.9,1.9,-0.14,2.77,135.292,6.57226,4.122,6.28309
HD 145675 c,14 Her,Radial Velocity,2021,K,5338.0,0.93,0.97,0.43,4.45,17.9323,6.61935,4.714,6.383
HD 145934 b,HD 145934,Radial Velocity,2015,K,4823.75,6.930587,2.058,0.0951,3.011205,227.881,8.495,6.145,8.24065
HD 1461 b,HD 1461,Radial Velocity,2010,G,5765.0,1.152288,1.02,0.19,4.38,23.4534,6.47933,4.897,6.29454
HD 1461 c,HD 1461,Radial Velocity,2015,G,5765.0,1.152288,1.02,0.19,4.38,23.4534,6.47933,4.897,6.29454
HD 147018 b,HD 147018,Radial Velocity,2009,G,5441.0,0.937948,0.927,0.1,4.42,40.4256,8.3,6.571,8.11145
HD 147018 c,HD 147018,Radial Velocity,2009,G,5441.0,0.937948,0.927,0.1,4.42,40.4256,8.3,6.571,8.11145
HD 147379 b,HD 147379,Radial Velocity,2017,M,4090.0,0.628304,0.58,0.16,4.609,10.7643,8.61,4.953,7.90052
HD 147513 b,HD 147513,Radial Velocity,2003,G,5883.0,0.98,1.11,0.06,4.51,12.9032,5.37,3.933,5.22664
HD 14787 b,HD 14787,Radial Velocity,2018,G,4946.0,5.01,1.43,0.0,3.23,119.137,7.63,5.388,7.37839
HD 147873 b,HD 147873,Radial Velocity,2016,G,5972.0,2.29,1.38,0.03,3.86,109.055,7.96,6.581,7.81828
HD 147873 c,HD 147873,Radial Velocity,2016,G,5972.0,2.29,1.38,0.03,3.86,109.055,7.96,6.581,7.81828
HD 148156 b,HD 148156,Radial Velocity,2009,G,6308.0,1.21,1.22,0.29,4.56,57.1289,7.69,6.397,7.55508
HD 148164 b,HD 148164,Radial Velocity,2018,F,6032.0,1.34,1.21,0.24,4.1581,77.1971,8.23,6.906,8.0907
HD 148164 c,HD 148164,Radial Velocity,2018,F,6032.0,1.34,1.21,0.24,4.1581,77.1971,8.23,6.906,8.0907
HD 148427 b,HD 148427,Radial Velocity,2009,K,5025.0,3.86,1.64,0.154,3.48,71.3499,6.90498,4.682,6.63542
HD 149026 b,HD 149026,Radial Velocity,2005,G,6179.0,1.41,1.42,0.32,4.37,75.8643,8.15,6.819,8.01416
HD 149143 b,HD 149143,Radial Velocity,2005,G,5856.0,1.44,1.2,0.29,4.25,73.2801,7.89,6.434,7.74081
HD 149806 b,HD 149806,Radial Velocity,2022,K,5352.05,0.89,0.93,0.2206,4.51,20.2727,7.08308,5.183,6.86807
HD 150010 b,HD 150010,Radial Velocity,2022,K,4153.0,16.2,1.3,-0.25,2.1,144.49,6.2893,3.177,5.86642
HD 1502 b,HD 1502,Radial Velocity,2011,K,4947.0,4.67,1.46,0.09,3.18,190.953,8.36,6.12,8.10417
HD 150706 b,HD 150706,Radial Velocity,2012,G,5961.0,0.96,1.17,-0.01,4.5,28.2697,7.03,5.565,6.85038
HD 152079 b,HD 152079,Radial Velocity,2009,G,5907.0,1.128,1.147,0.29,4.365,87.8888,9.18,7.634,9.01051
HD 152581 b,HD 152581,Radial Velocity,2011,K,5027.0,5.14,1.3,-0.46,3.29,165.76,8.38,6.173,8.12746
HD 152843 b,HD 152843,Transit,2021,G,6310.0,1.43,1.15,-0.16,4.19,107.898,8.855,7.629,8.76412
HD 152843 c,HD 152843,Transit,2021,G,6310.0,1.43,1.15,-0.16,4.19,107.898,8.855,7.629,8.76412
HD 15337 b,HD 15337,Transit,2019,K,5131.0,0.855,0.829,0.03,4.48,44.8155,9.1,7.044,8.85598
HD 15337 c,HD 15337,Transit,2019,K,5131.0,0.855,0.829,0.03,4.48,44.8155,9.1,7.044,8.85598
HD 153950 b,HD 153950,Radial Velocity,2008,F,6124.0,1.28,1.25,-0.01,4.32,48.4549,7.39,6.006,7.23813
HD 154088 b,HD 154088,Radial Velocity,2021,K,5374.0,0.95,0.91,0.28,4.37,18.2692,6.59,4.758,6.36693
HD 154345 b,HD 154345,Radial Velocity,2006,G,5468.0,0.85,0.89,-0.105,4.505283,18.284,6.76,5.003,6.56771
HD 154391 b,HD 154391,Radial Velocity,2023,K,4909.0,8.56,2.07,0.1,2.89,100.947,6.1552,3.896,5.89921
HD 154672 b,HD 154672,Radial Velocity,2008,G,5743.0,1.32,1.18,0.25,4.27,63.0484,8.21,6.612,8.03732
HD 154857 b,HD 154857,Radial Velocity,2004,G,5589.0,2.3,1.96,-0.22,4.01,63.4482,7.24,5.509,7.04837
HD 154857 c,HD 154857,Radial Velocity,2014,G,5605.0,1.76,1.718,-0.2,3.82,63.4482,7.24,5.509,7.04837
HD 155193 b,HD 155193,Radial Velocity,2021,F,6239.0,1.76439,1.221,0.05,4.26,57.7995,7.0092,5.715,6.86686
HD 155358 b,HD 155358,Radial Velocity,2007,G,5905.0,1.38,1.15,-0.6,4.22,43.6197,7.28,5.808,7.12074
HD 155358 c,HD 155358,Radial Velocity,2007,G,5900.0,1.38,0.92,-0.51,4.16,43.6197,7.28,5.808,7.12074
HD 155918 b,HD 155918,Radial Velocity,2022,G,5771.84,1.01906,1.03,-0.6616,4.43451,27.561,7.0,5.459,6.8406
HD 155918 c,HD 155918,Radial Velocity,2022,G,5771.84,1.01906,1.03,-0.6616,4.43451,27.561,7.0,5.459,6.8406
HD 156279 b,HD 156279,Radial Velocity,2011,G,5453.0,0.95,0.94,0.14,4.46,36.1945,8.07,6.269,7.86569
HD 156279 c,HD 156279,Radial Velocity,2016,G,5453.0,0.95,0.94,0.14,4.46,36.1945,8.07,6.269,7.86569
HD 156411 b,HD 156411,Radial Velocity,2009,F,5900.0,2.16,1.25,-0.12,4.07,56.8655,6.67,5.17,6.5121
HD 156668 b,HD 156668,Radial Velocity,2010,K,4850.0,0.72,0.772,0.05,4.598,24.3323,8.43,6.004,8.10753
HD 156668 c,HD 156668,Radial Velocity,2021,K,4903.69,0.774528,0.785167,0.0493,4.551151,24.3323,8.43,6.004,8.10753
HD 156846 b,HD 156846,Radial Velocity,2007,G,6090.0,1.9,1.38,0.15,4.02,47.7332,6.5,5.149,6.3623
HD 158038 b,HD 158038,Radial Velocity,2011,K,4860.0,4.5,1.3,0.19,3.24,94.8625,7.47,5.156,7.2068
HD 158996 b,HD 158996,Radial Velocity,2018,K,4069.0,50.3,1.8,-0.2,1.4,283.659,5.72291,2.133,5.18609
HD 15906 b,HD 15906,Transit,2023,K,4757.0,0.762,0.79,0.02,4.49,45.5621,9.78,7.459,9.47728
HD 15906 c,HD 15906,Transit,2023,K,4757.0,0.762,0.79,0.02,4.49,45.5621,9.78,7.459,9.47728
HD 159243 b,HD 159243,Radial Velocity,2013,G,6123.0,1.12,1.125,0.05,4.55,73.3055,8.65,7.297,8.51188
HD 159243 c,HD 159243,Radial Velocity,2013,G,6123.0,1.12,1.125,0.05,4.55,73.3055,8.65,7.297,8.51188
HD 159868 b,HD 159868,Radial Velocity,2006,G,5534.0,2.13,1.19,-0.08,3.92,55.8503,7.24,5.535,7.04579
HD 159868 c,HD 159868,Radial Velocity,2012,G,5534.0,2.13,1.19,-0.08,3.92,55.8503,7.24,5.535,7.04579
HD 1605 b,HD 1605,Radial Velocity,2015,K,4915.0,3.49,1.33,0.22,3.4,88.8047,7.52,5.272,7.25688
HD 1605 c,HD 1605,Radial Velocity,2015,K,4915.0,3.49,1.33,0.22,3.4,88.8047,7.52,5.272,7.25688
HD 160691 b,HD 160691,Radial Velocity,2000,G,5773.0,1.33,1.13,0.28,4.2,15.5981,5.12,3.683,4.94916
HD 160691 c,HD 160691,Radial Velocity,2004,G,5773.0,1.33,1.13,0.28,4.2,15.5981,5.12,3.683,4.94916
HD 160691 d,HD 160691,Radial Velocity,2004,G,5773.0,1.33,1.13,0.28,4.2,15.5981,5.12,3.683,4.94916
HD 160691 e,HD 160691,Radial Velocity,2006,G,5773.0,1.33,1.13,0.28,4.2,15.5981,5.12,3.683,4.94916
HD 161178 b,HD 161178,Radial Velocity,2021,G,4786.0,10.95,1.06,-0.21,2.38,107.188,5.88375,3.657,5.59958
HD 16141 b,HD 16141,Radial Velocity,2000,G,5757.0,1.48,1.11,0.13,4.14,37.7861,6.834,5.266,6.65773
HD 16175 b,HD 16175,Radial Velocity,2009,G,5981.0,1.72,1.63,0.3,4.18,59.859,7.297,5.853,7.1291
HD 162020 b,HD 162020,Radial Velocity,2002,K,4723.0,0.75,0.42,-0.1,4.31,30.8248,9.1,6.539,8.75949
HD 163607 b,HD 163607,Radial Velocity,2012,G,5522.0,1.76,1.12,0.21,3.97,67.7855,8.0,6.271,7.81298
HD 163607 c,HD 163607,Radial Velocity,2012,G,5522.0,1.76,1.12,0.21,3.97,67.7855,8.0,6.271,7.81298
HD 16417 b,HD 16417,Radial Velocity,2008,G,5841.0,1.639984,1.2,0.06,4.16,25.3936,5.78,4.246,5.61319
HD 164509 b,HD 164509,Radial Velocity,2012,G,5859.0,1.11,1.12,0.2,4.44,53.1119,8.1,6.586,7.95594
HD 164595 b,HD 164595,Radial Velocity,2015,G,5790.0,1.023606,0.99,-0.04,4.44,28.254,7.08597,5.482,6.89472
HD 164604 b,HD 164604,Radial Velocity,2009,K,4663.0,0.78,0.77,0.12,4.49,39.3633,9.62,7.169,9.32786
HD 164604 c,HD 164604,Radial Velocity,2026,K,4663.0,0.78,0.77,0.12,4.49,39.3633,9.62,7.169,9.32786
HD 164922 b,HD 164922,Radial Velocity,2005,G,5390.0,0.946,0.926,0.18,4.46,22.0016,7.01227,5.113,6.78614
HD 164922 c,HD 164922,Radial Velocity,2016,G,5390.0,0.946,0.926,0.18,4.46,22.0016,7.01227,5.113,6.78614
HD 164922 d,HD 164922,Radial Velocity,2020,G,5390.0,0.946,0.926,0.18,4.46,22.0016,7.01227,5.113,6.78614
HD 164922 e,HD 164922,Radial Velocity,2021,G,5393.43,1.001813,0.921146,0.1967,4.398073,22.0016,7.01227,5.113,6.78614
HD 165131 b,HD 165131,Radial Velocity,2023,G,5870.0,1.06419,1.06,0.06,4.39,57.4263,8.42,6.927,8.26134
HD 165155 b,HD 165155,Radial Velocity,2016,G,5426.0,0.95,1.02,0.09,4.49,63.3574,9.36,7.584,9.21413
HD 1666 b,HD 1666,Radial Velocity,2015,F,6317.0,1.93,1.5,0.37,4.06,117.908,8.17,6.964,8.05121
HD 166724 b,HD 166724,Radial Velocity,2012,K,5127.0,0.797485,0.81,-0.09,4.43,45.1342,9.33,7.246,9.06863
HD 167042 b,HD 167042,Radial Velocity,2007,K,4919.0,4.63,1.39,-0.01,3.23,49.6633,5.98796,3.55,5.72384
HD 16760 b,HD 16760,Radial Velocity,2009,G,5518.0,0.835,0.93,0.067,4.47,50.17561,8.7,7.033,8.55541
HD 167677 b,HD 167677,Radial Velocity,2023,G,5474.0,0.95271,0.96,-0.29,4.43,54.3258,8.9,7.155,8.7114
HD 167768 b,HD 167768,Radial Velocity,2022,G,4851.0,9.7,1.08,-0.67,2.5,107.214,5.98894,3.895,5.7545
HD 168009 b,HD 168009,Radial Velocity,2021,G,5778.33,1.209505,0.986073,0.0183,4.265027,23.3032,6.295,4.756,6.14052
HD 168443 b,HD 168443,Radial Velocity,1998,G,5491.0,1.711479,0.98,0.04,3.987745,39.6245,6.92122,5.211,6.73166
HD 168443 c,HD 168443,Radial Velocity,2000,G,5491.0,1.711479,0.98,0.04,3.987745,39.6245,6.92122,5.211,6.73166
HD 168746 b,HD 168746,Radial Velocity,2002,G,5570.0,1.09,1.07,-0.08,4.39,41.5681,7.95,6.253,7.77169
HD 1690 b,HD 1690,Radial Velocity,2010,K,4374.0,21.66,1.86,-0.27,2.04,752.615,9.19,6.018,8.74943
HD 16905 b,HD 16905,Radial Velocity,2022,K,4866.12,0.77494,0.85,0.2405,4.55716,39.7401,9.44,7.086,9.11324
HD 169830 b,HD 169830,Radial Velocity,2000,F,6300.0,1.935709,1.17,0.21,4.008828,37.6048,5.9,4.688,5.77641
HD 169830 c,HD 169830,Radial Velocity,2003,F,6300.0,1.935709,1.17,0.21,4.008828,37.6048,5.9,4.688,5.77641
HD 170469 b,HD 170469,Radial Velocity,2007,G,5842.0,1.24,1.1,0.29,4.3,60.178,8.21,6.707,8.04953
HD 17092 b,HD 17092,Radial Velocity,2007,K,4326.0,13.58,6.73,0.18,3.0,228.422,7.732,4.807,7.33993
HD 171028 b,HD 171028,Radial Velocity,2007,G,5671.0,2.47,1.53,-0.48,3.84,111.659,8.292,6.604,8.10233
HD 171238 b,HD 171238,Radial Velocity,2009,G,5467.0,1.01,0.92,0.2,4.43,44.8113,8.61,6.831,8.41099
HD 17156 b,HD 17156,Radial Velocity,2007,G,6046.0,1.517,1.285,0.208,4.184,78.0863,8.17,6.763,8.03298
HD 173416 b,HD 173416,Radial Velocity,2008,G,4683.0,13.5,2.0,-0.22,2.48,132.184,6.04188,3.814,5.75681
HD 174205 b,HD 174205,Radial Velocity,2022,K,4308.0,26.6,1.8,-0.28,1.8,234.027,6.28209,3.574,5.89765
HD 175167 b,HD 175167,Radial Velocity,2009,G,5635.0,1.75,1.09,0.28,4.09,71.0863,8.01,6.288,7.82424
HD 175541 b,HD 175541,Radial Velocity,2007,G,5013.0,4.19,1.39,-0.07,3.33,129.603,8.020001,5.829,7.75927
HD 175607 b,HD 175607,Radial Velocity,2015,G,5392.0,0.7,0.71,-0.62,4.64,40.3303,8.6,6.881,8.40957
HD 17674 b,HD 17674,Radial Velocity,2017,G,5904.0,1.18,0.98,-0.16,4.34,44.4264,7.535,6.093,7.40113
HD 176986 b,HD 176986,Radial Velocity,2017,K,4931.0,0.782,0.789,0.03,4.44,27.7843,8.42,6.22,8.14249
HD 176986 c,HD 176986,Radial Velocity,2017,K,4931.0,0.782,0.789,0.03,4.44,27.7843,8.42,6.22,8.14249
HD 176986 d,HD 176986,Radial Velocity,2026,K,4931.0,0.782,0.789,0.03,4.44,27.7843,8.42,6.22,8.14249
HD 177565 b,HD 177565,Radial Velocity,2017,G,5627.0,0.971489,1.0,0.0812,4.39,16.9179,6.15,4.539,5.9739
HD 177830 b,HD 177830,Radial Velocity,1999,K,4901.0,3.26,1.7,0.42,3.64,62.7674,7.18,4.809,6.8866
HD 177830 c,HD 177830,Radial Velocity,2010,K,4949.0,2.62,1.47,0.545,3.65,62.7674,7.18,4.809,6.8866
HD 178911 B b,HD 178911 B,Radial Velocity,2001,G,5588.0,1.08,1.24,0.24,4.46,40.9727,7.97,6.375,7.86705
HD 179079 b,HD 179079,Radial Velocity,2008,G,5646.0,1.63,1.14,0.24,4.16,69.7116,7.95,6.311,7.77454
HD 179949 b,HD 179949,Radial Velocity,2000,F,6168.0,1.266865,1.21,0.137,4.341,27.4573,6.25,4.936,6.1106
HD 180053 b,HD 180053,Radial Velocity,2018,K,5131.0,4.06,1.75,0.25,3.54,137.043,7.93,5.84,7.70327
HD 18015 b,HD 18015,Radial Velocity,2018,G,5603.0,3.13,1.49,-0.14,3.64,123.801,7.89,6.204,7.72194
HD 180314 b,HD 180314,Radial Velocity,2010,K,4917.0,9.2,2.6,0.2,2.98,122.362,6.61519,4.312,6.34583
HD 180617 b,HD 180617,Radial Velocity,2018,M,3534.0,0.481,0.484,-0.04,4.9,5.91059,9.12,4.673,8.0976
HD 180902 b,HD 180902,Radial Velocity,2009,K,4961.0,4.16,1.41,0.04,3.36,104.577,7.78,5.543,7.52132
HD 181234 b,HD 181234,Radial Velocity,2019,G,5386.0,1.059423,0.94,0.32,4.374546,47.7458,8.59,6.689,8.36926
HD 181342 b,HD 181342,Radial Velocity,2009,K,4945.0,4.71,1.69,0.26,3.28,120.391,7.55,5.251,7.28405
HD 18143 b,HD 18143,Radial Velocity,2022,K,5078.0,0.87,0.85,0.28,4.51,22.5243,7.518,5.427,7.33209
HD 18143 c,HD 18143,Radial Velocity,2022,K,5078.0,0.87,0.85,0.28,4.51,22.5243,7.518,5.427,7.33209
HD 181433 b,HD 181433,Radial Velocity,2008,K,4918.0,0.79,0.86,0.4012,4.45,26.8762,8.4,6.094,8.09228
HD 181433 c,HD 181433,Radial Velocity,2008,K,4918.0,0.79,0.86,0.4012,4.45,26.8762,8.4,6.094,8.09228
HD 181433 d,HD 181433,Radial Velocity,2008,K,4918.0,0.79,0.86,0.4012,4.45,26.8762,8.4,6.094,8.09228
HD 181720 b,HD 181720,Radial Velocity,2009,G,5736.0,1.5,1.03,-0.62,4.09,60.2046,7.84,6.294,7.67484
HD 183263 b,HD 183263,Radial Velocity,2004,G,5948.0,1.23,1.06,0.2776,4.37,54.1955,7.86,6.422,7.71818
HD 183263 c,HD 183263,Radial Velocity,2008,G,5948.0,1.23,1.06,0.2776,4.37,54.1955,7.86,6.422,7.71818
HD 183579 b,HD 183579,Transit,2021,G,5784.0,0.96,0.996,-0.038,4.45,57.2651,8.67,7.15,8.51549
HD 184010 b,HD 184010,Radial Velocity,2022,K,4971.0,4.86,1.35,-0.17,3.18,60.7993,5.88639,3.98,5.64508
HD 184010 c,HD 184010,Radial Velocity,2022,K,4971.0,4.86,1.35,-0.17,3.18,60.7993,5.88639,3.98,5.64508
HD 184010 d,HD 184010,Radial Velocity,2022,K,4971.0,4.86,1.35,-0.17,3.18,60.7993,5.88639,3.98,5.64508
HD 18438 b,HD 18438,Radial Velocity,2023,M,3860.0,88.475,1.84,-0.4,0.9,224.146,5.50474,1.325,4.73199
HD 185269 b,HD 185269,Radial Velocity,2006,G,5923.0,2.0,1.3,0.11,3.92,51.9917,6.67973,5.26,6.51831
HD 185283 b,HD 185283,Radial Velocity,2023,K,4848.0,0.743303,0.8,-0.06,4.59336,31.395,9.03,6.601,8.71311
HD 18599 b,HD 18599,Transit,2022,K,5145.0,0.767,0.863,0.0,4.54,38.5653,8.99,6.883,8.73117
HD 187085 b,HD 187085,Radial Velocity,2006,G,6117.0,1.27,1.189,0.12,4.279,45.8993,7.22,5.876,7.07508
HD 187123 b,HD 187123,Radial Velocity,1998,G,5790.0,1.15043,1.04,0.09,4.33338,45.9548,7.83,6.337,7.67284
HD 187123 c,HD 187123,Radial Velocity,2008,G,5790.0,1.15043,1.04,0.09,4.33338,45.9548,7.83,6.337,7.67284
HD 18742 b,HD 18742,Radial Velocity,2011,G,4940.0,5.13,1.36,-0.04,3.09,162.685,7.81,5.554,7.55464
HD 188015 b,HD 188015,Radial Velocity,2004,G,5746.0,1.125296,1.09,0.289,4.445,50.6706,8.24,6.632,8.06588
HD 189567 b,HD 189567,Radial Velocity,2021,G,5726.0,1.04,0.83,-0.24,4.41,17.9055,6.074,4.511,5.9098
HD 189567 c,HD 189567,Radial Velocity,2021,G,5726.0,1.04,0.83,-0.24,4.41,17.9055,6.074,4.511,5.9098
HD 189733 b,HD 189733,Radial Velocity,2005,K,5052.0,0.75,0.79,-0.02,4.49,19.7638,7.67,5.541,7.41432
HD 190007 b,HD 190007,Radial Velocity,2020,K,4610.0,0.79,0.77,0.16,4.58,12.7141,7.46,4.796,7.06341
HD 190228 b,HD 190228,Radial Velocity,2022,G,5360.0,2.58658,1.415,-0.24,4.02,62.7146,7.3,5.352,7.08482
HD 190360 b,HD 190360,Radial Velocity,2003,G,5560.0,1.14,0.996,0.26,4.1,16.0069,5.738,4.076,5.55436
HD 190360 c,HD 190360,Radial Velocity,2005,G,5560.0,1.14,0.996,0.26,4.1,16.0069,5.738,4.076,5.55436
HD 190360 d,HD 190360,Radial Velocity,2026,G,5560.0,1.14,0.996,0.26,4.1,16.0069,5.738,4.076,5.55436
HD 190647 b,HD 190647,Radial Velocity,2007,G,5656.0,1.376,1.069,0.23,4.162,54.4738,7.78,6.161,7.5942
HD 190984 b,HD 190984,Radial Velocity,2009,F,5988.0,1.53,0.91,-0.48,4.02,148.187,8.76,7.319,8.61126
HD 191806 b,HD 191806,Radial Velocity,2016,K,6010.0,1.40223,1.07,0.3,4.45,65.6668,8.09,6.639,7.93339
HD 191939 b,HD 191939,Transit,2020,G,5348.0,0.94,0.81,-0.15,4.3,53.6089,8.97,7.18,8.77476
HD 191939 c,HD 191939,Transit,2020,G,5348.0,0.94,0.81,-0.15,4.3,53.6089,8.97,7.18,8.77476
HD 191939 d,HD 191939,Transit,2020,G,5348.0,0.94,0.81,-0.15,4.3,53.6089,8.97,7.18,8.77476
HD 191939 e,HD 191939,Radial Velocity,2022,G,5348.0,0.94,0.81,-0.15,4.3,53.6089,8.97,7.18,8.77476
HD 191939 f,HD 191939,Radial Velocity,2022,G,5348.0,0.94,0.81,-0.15,4.3,53.6089,8.97,7.18,8.77476
HD 191939 g,HD 191939,Radial Velocity,2022,G,5348.0,0.94,0.81,-0.15,4.3,53.6089,8.97,7.18,8.77476
HD 192263 b,HD 192263,Radial Velocity,1999,K,4976.0,0.74,0.66,0.03,4.51,19.6359,7.79,5.537,7.49558
HD 192310 b,HD 192310,Radial Velocity,2011,K,5166.0,0.857922,0.8,-0.04,4.51,8.79687,5.73,3.501,5.47661
HD 192310 c,HD 192310,Radial Velocity,2011,K,5166.0,0.857922,0.8,-0.04,4.51,8.79687,5.73,3.501,5.47661
HD 192699 b,HD 192699,Radial Velocity,2007,G,5041.0,4.41,1.38,-0.15,3.25,71.8627,6.45591,4.366,6.21085
HD 195019 b,HD 195019,Radial Velocity,1998,G,5751.0,1.48,1.21,0.05,4.18,37.6681,6.87591,5.256,6.72911
HD 196050 b,HD 196050,Radial Velocity,2002,G,5879.0,1.42,1.27,0.229,4.25,50.6742,7.5,6.034,7.3407
HD 196067 b,HD 196067,Radial Velocity,2012,G,6072.0,1.71,1.16,0.213,4.09,39.9346,6.51,5.08,6.33009
HD 196067 c,HD 196067,Radial Velocity,2025,G,6072.0,1.71,1.16,0.213,4.09,39.9346,6.51,5.08,6.33009
HD 19615 b,HD 19615,Radial Velocity,2022,K,4263.0,32.3,1.1,-0.31,1.4,265.155,6.55594,3.062,6.02012
HD 196885 A b,HD 196885 A,Radial Velocity,2007,F,6254.0,1.31,1.28,0.22,4.31,34.1692,6.39677,5.072,6.26141
HD 197037 b,HD 197037,Radial Velocity,2012,F,6150.0,1.105,1.11,-0.2,4.4,33.1944,6.82294,5.488,6.67106
HD 199509 b,HD 199509,Radial Velocity,2022,G,5796.02,0.92,1.04,-0.3075,4.51,24.3056,6.98,5.425,6.817
HD 19994 b,HD 19994,Radial Velocity,2003,F,6188.0,1.79647,1.365,0.27,4.29,22.5242,5.06345,3.748,4.93038
HD 20003 b,HD 20003,Radial Velocity,2019,G,5494.0,0.921637,0.875,0.04,4.41,41.8316,8.39,6.647,8.19184
HD 20003 c,HD 20003,Radial Velocity,2019,G,5494.0,0.921637,0.875,0.04,4.41,41.8316,8.39,6.647,8.19184
HD 200964 b,HD 200964,Radial Velocity,2010,G,4982.0,4.92,1.39,-0.15,3.22,72.5922,6.48605,4.286,6.23723
HD 200964 c,HD 200964,Radial Velocity,2010,G,4982.0,4.92,1.39,-0.15,3.22,72.5922,6.48605,4.286,6.23723
HD 202206 c,HD 202206,Radial Velocity,2004,G,5766.0,1.04,1.07,0.3,4.5,45.9665,8.08,6.485,7.91051
HD 202696 b,HD 202696,Radial Velocity,2019,K,5040.0,6.43,1.91,0.02,3.11,188.546,8.23,5.877,7.95929
HD 202696 c,HD 202696,Radial Velocity,2019,K,5040.0,6.43,1.91,0.02,3.11,188.546,8.23,5.877,7.95929
HD 203030 b,HD 203030,Imaging,2006,G,5603.0,0.856458,0.94,0.3,4.64,39.2503,8.45,6.653,8.24663
HD 2039 b,HD 2039,Radial Velocity,2002,G,5945.0,1.19,1.23,0.3,4.38,85.6922,9.0,7.549,8.85974
HD 204313 b,HD 204313,Radial Velocity,2010,G,5767.0,1.1,1.03,0.18,4.37,47.7945,7.99,6.459,7.83246
HD 204313 c,HD 204313,Radial Velocity,2015,G,5767.0,1.1,1.03,0.18,4.37,47.7945,7.99,6.459,7.83246
HD 204313 e,HD 204313,Radial Velocity,2022,G,5767.0,1.1,1.03,0.18,4.37,47.7945,7.99,6.459,7.83246
HD 204941 b,HD 204941,Radial Velocity,2011,K,5026.0,0.78,0.58,-0.19,4.42,28.7165,8.45,6.357,8.19092
HD 205739 b,HD 205739,Radial Velocity,2008,F,6176.0,1.33,1.22,0.19,4.29,92.5087,8.56,7.299,8.41991
HD 206610 b,HD 206610,Radial Velocity,2009,K,4842.0,6.12,1.55,0.14,3.22,147.192,8.34,5.952,8.06506
HD 207496 b,HD 207496,Transit,2023,K,4819.0,0.769,0.8,0.095,4.507,23.606,8.23,5.967,7.97255
HD 20781 b,HD 20781,Radial Velocity,2019,K,5256.0,0.833609,0.7,-0.11,4.37,35.9715,8.48,6.553,8.2372
HD 20781 c,HD 20781,Radial Velocity,2019,K,5256.0,0.833609,0.7,-0.11,4.37,35.9715,8.48,6.553,8.2372
HD 20781 d,HD 20781,Radial Velocity,2019,K,5256.0,0.833609,0.7,-0.11,4.37,35.9715,8.48,6.553,8.2372
HD 20781 e,HD 20781,Radial Velocity,2019,K,5256.0,0.833609,0.7,-0.11,4.37,35.9715,8.48,6.553,8.2372
HD 20782 b,HD 20782,Radial Velocity,2006,G,5782.13,1.12681,1.04,-0.0537,4.3514,35.9864,7.36,5.827,7.19283
HD 207832 b,HD 207832,Radial Velocity,2012,G,5726.0,0.89,1.05,0.14,4.48,58.9291,8.78,7.207,8.61176
HD 207832 c,HD 207832,Radial Velocity,2012,G,5710.0,0.901,0.94,0.06,4.502,58.9291,8.78,7.207,8.61176
HD 207897 b,HD 207897,Transit,2021,K,5106.0,0.7827,0.8208,-0.03,4.562,28.2938,8.37,6.312,8.13037
HD 20794 b,HD 20794,Radial Velocity,2011,G,5368.0,0.93,0.79,-0.42,4.39,6.00278,4.26,2.636,4.06635
HD 20794 d,HD 20794,Radial Velocity,2011,G,5368.0,0.93,0.79,-0.42,4.39,6.00278,4.26,2.636,4.06635
HD 20794 e,HD 20794,Radial Velocity,2017,G,5401.0,0.93,0.813,-0.4,4.39,6.00278,4.26,2.636,4.06635
HD 20794 f,HD 20794,Radial Velocity,2025,G,5368.0,0.93,0.79,-0.42,4.39,6.00278,4.26,2.636,4.06635
HD 208487 b,HD 208487,Radial Velocity,2004,G,6134.0,1.16,1.15,0.09,4.34,45.147,7.47,6.159,7.33164
HD 208527 b,HD 208527,Radial Velocity,2012,M,4035.0,51.1,1.6,-0.09,1.4,312.202,6.38984,2.224,5.61607
HD 20868 b,HD 20868,Radial Velocity,2008,K,4802.0,0.76,0.39,0.05,4.26,47.7223,9.92,7.543,9.61323
HD 208897 b,HD 208897,Radial Velocity,2017,K,4860.0,4.98,1.25,0.21,3.13,67.4872,6.50821,4.198,6.23739
HD 209458 b,HD 209458,Radial Velocity,1999,G,6091.0,1.19,1.23,0.01,4.45,48.3016,7.65,6.308,7.50866
HD 210193 b,HD 210193,Radial Velocity,2019,G,5790.0,1.05971,1.04,0.13,4.43481,42.2029,7.83,6.31,7.6687
HD 210277 b,HD 210277,Radial Velocity,1998,G,5538.0,1.07,1.01,0.22,4.38,21.2985,6.54348,4.799,6.34701
HD 210702 b,HD 210702,Radial Velocity,2007,K,4912.0,4.54,1.33,-0.02,3.23,54.1963,5.93022,3.984,5.6807
