pl_name,hostname,discoverymethod,disc_year,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
K2-3 b,K2-3,Transit,2015,M,3844.0,0.546,0.549,-0.157,4.704,44.0727,12.168,8.561,11.4785
K2-3 c,K2-3,Transit,2015,M,3844.0,0.546,0.549,-0.157,4.704,44.0727,12.168,8.561,11.4785
K2-3 d,K2-3,Transit,2015,M,3844.0,0.546,0.549,-0.157,4.704,44.0727,12.168,8.561,11.4785
K2-30 b,K2-30,Transit,2016,G,5425.0,0.844,0.9,-0.15,4.54,333.042,13.547,11.088,13.2056
K2-31 b,K2-31,Transit,2016,G,5280.0,0.78,0.91,0.08,4.6,110.527,10.802,8.866,10.5371
K2-312 c,HD 80653,Radial Velocity,2023,G,5959.0,1.22,1.18,0.255,4.34,109.86,9.452,8.018,9.30733
K2-315 b,K2-315,Transit,2020,M,3300.0,0.196,0.174,-0.24,5.094,56.9686,17.67,11.838,15.6791
K2-32 b,K2-32,Transit,2016,G,5271.0,0.86,0.83,-0.06,4.49,157.682,12.304,9.821,12.0036
K2-32 c,K2-32,Transit,2016,G,5271.0,0.86,0.83,-0.06,4.49,157.682,12.304,9.821,12.0036
K2-32 d,K2-32,Transit,2016,G,5271.0,0.86,0.83,-0.06,4.49,157.682,12.304,9.821,12.0036
K2-32 e,K2-32,Transit,2019,G,5271.0,0.86,0.83,-0.06,4.49,157.682,12.304,9.821,12.0036
K2-34 b,K2-34,Transit,2016,F,6168.0,1.42,1.16,0.01,4.2,348.646,11.447,10.193,11.4357
K2-35 b,K2-35,Transit,2016,K,4402.71,0.619575,0.701968,0.04,4.697,252.596,14.166,11.423,13.9152
K2-35 c,K2-35,Transit,2016,K,4402.71,0.619575,0.701968,0.04,4.697,252.596,14.166,11.423,13.9152
K2-36 b,K2-36,Transit,2016,K,4916.0,0.718,0.79,-0.047,4.621,109.749,11.726,9.454001,11.527
K2-36 c,K2-36,Transit,2016,K,4916.0,0.718,0.79,-0.047,4.621,109.749,11.726,9.454001,11.527
K2-37 b,K2-37,Transit,2016,G,5352.0,0.809,0.84,-0.08,4.53,179.943,12.573,10.142,12.2573
K2-37 c,K2-37,Transit,2016,G,5352.0,0.809,0.84,-0.08,4.53,179.943,12.573,10.142,12.2573
K2-37 d,K2-37,Transit,2016,G,5352.0,0.809,0.84,-0.08,4.53,179.943,12.573,10.142,12.2573
K2-370 b,K2-370,Transit,2022,G,5662.0,0.945,0.962,0.08,4.48,144.202,11.109,9.237001,10.8824
K2-374 b,K2-374,Transit,2022,G,5789.0,0.907,0.731,-0.292,4.386,359.439,12.783,11.287,12.6473
K2-374 c,K2-374,Transit,2022,G,5789.0,0.907,0.731,-0.292,4.386,359.439,12.783,11.287,12.6473
K2-376 b,K2-376,Transit,2022,G,5937.0,1.149,0.908,-0.176,4.275,161.61,10.415,9.007,10.2998
K2-38 b,K2-38,Transit,2016,G,5731.0,1.06,1.03,0.26,4.38,192.69,11.344,9.47,11.184
K2-38 c,K2-38,Transit,2016,G,5731.0,1.06,1.03,0.26,4.38,192.69,11.344,9.47,11.184
K2-384 b,K2-384,Transit,2022,M,3623.0,0.348,0.33,0.068,4.874,82.6603,16.12,11.294,15.0276
K2-384 c,K2-384,Transit,2022,M,3623.0,0.348,0.33,0.068,4.874,82.6603,16.12,11.294,15.0276
K2-384 d,K2-384,Transit,2022,M,3623.0,0.348,0.33,0.068,4.874,82.6603,16.12,11.294,15.0276
K2-384 e,K2-384,Transit,2022,M,3623.0,0.348,0.33,0.068,4.874,82.6603,16.12,11.294,15.0276
K2-384 f,K2-384,Transit,2022,M,3623.0,0.348,0.33,0.068,4.874,82.6603,16.12,11.294,15.0276
K2-388 b,K2-388,Transit,2022,G,5310.0,0.91,0.93,0.24,4.42,290.495,12.861,10.931,12.6357
K2-389 b,K2-389,Transit,2022,G,5773.0,1.094,0.99,0.038,4.31,259.208,11.827,10.184,11.5697
K2-389 c,K2-389,Transit,2022,G,5782.0,1.084,0.802,-0.034,4.273,259.208,11.827,10.184,11.5697
K2-390 b,K2-390,Transit,2022,G,5558.0,0.966,0.789,-0.116,4.368,456.122,13.611,11.718,13.3434
K2-391 b,K2-391,Transit,2022,G,5543.0,0.566,0.757,-0.543,4.973,507.94,12.527,10.705,12.3302
K2-392 b,K2-392,Transit,2022,G,5726.0,1.058,0.841,-0.238,4.314,406.985,12.922,11.238,12.6795
